GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
userservice,com.eventbooking.userservice.config,SecurityConfig,128,0,0,0,21,0,7,0,7,0
userservice,com.eventbooking.userservice.entity,User.Role,0,15,0,0,0,3,0,1,0,1
userservice,com.eventbooking.userservice.controller,AuthController,0,24,0,0,0,7,0,3,0,3
userservice,com.eventbooking.userservice.security,JwtAuthenticationFilter,0,84,4,6,0,22,4,4,0,3
userservice,com.eventbooking.userservice.security,JwtUtil,0,96,1,3,0,23,1,11,0,10
userservice,com.eventbooking.userservice.exception,UserAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
userservice,com.eventbooking.userservice.exception,GlobalExceptionHandler,0,87,0,0,0,18,0,7,0,7
userservice,com.eventbooking.userservice.exception,InvalidCredentialsException,0,4,0,0,0,2,0,1,0,1
userservice,com.eventbooking.userservice.service,AuthService,0,135,0,6,0,25,0,7,0,4
userservice,com.eventbooking.userservice,UserserviceApplication,8,0,0,0,3,0,2,0,2,0
